british,american,category,form,to_american_enabled,to_british_enabled,source_refs,notes
demonised,demonized,verb,过去分词|过去时,true,true,动词!C61:H61|动词!D61:I61,
demonises,demonizes,verb,第三人称单数,true,true,动词!B61:G61,
demonising,demonizing,verb,ing,true,true,动词!E61:J61,
demoralisation,demoralization,noun,单数,false,true,名词!A325:C325,英式源词存在多个美式目标，已禁用英转美
demoralisation,demoralizations,noun,复数,false,true,名词!B325:D325,英式源词存在多个美式目标，已禁用英转美
denationalise,denationalize,verb,原型,true,true,动词!A62:F62,
denationalised,denationalized,verb,过去分词|过去时,true,true,动词!C62:H62|动词!D62:I62,
denationalises,denationalizes,verb,第三人称单数,true,true,动词!B62:G62,
denationalising,denationalizing,verb,ing,true,true,动词!E62:J62,
denormalise,denormalize,verb,原型,true,true,动词!A63:F63,
denormalised,denormalized,verb,过去分词|过去时,true,true,动词!C63:H63|动词!D63:I63,
denormalises,denormalizes,verb,第三人称单数,true,true,动词!B63:G63,
denormalising,denormalizing,verb,ing,true,true,动词!E63:J63,
deodorise,deodorize,verb,原型,true,true,动词!A64:F64,
deodorised,deodorized,verb,过去分词|过去时,true,true,动词!C64:H64|动词!D64:I64,
deodorises,deodorizes,verb,第三人称单数,true,true,动词!B64:G64,
deodorising,deodorizing,verb,ing,true,true,动词!E64:J64,
dependences,dependencies,noun,复数,true,true,名词!B326:D326,
depersonalisation,depersonalization,noun,单数,false,true,名词!A327:C327,英式源词存在多个美式目标，已禁用英转美
depersonalisation,depersonalizations,noun,复数,false,true,名词!B327:D327,英式源词存在多个美式目标，已禁用英转美
depersonalise,depersonalize,verb,原型,true,true,动词!A65:F65,
depersonalised,depersonalized,verb,过去分词|过去时,true,true,动词!C65:H65|动词!D65:I65,
depersonalises,depersonalizes,verb,第三人称单数,true,true,动词!B65:G65,
depersonalising,depersonalizing,verb,ing,true,true,动词!E65:J65,
depoliticise,depoliticize,verb,原型,true,true,动词!A66:F66,
depoliticised,depoliticized,verb,过去分词|过去时,true,true,动词!C66:H66|动词!D66:I66,
depoliticises,depoliticizes,verb,第三人称单数,true,true,动词!B66:G66,
depoliticising,depoliticizing,verb,ing,true,true,动词!E66:J66,
depressurise,depressurize,verb,原型,true,true,动词!A67:F67,
depressurised,depressurized,verb,过去分词|过去时,true,true,动词!C67:H67|动词!D67:I67,
depressurises,depressurizes,verb,第三人称单数,true,true,动词!B67:G67,
depressurising,depressurizing,verb,ing,true,true,动词!E67:J67,
deputise,deputize,verb,原型,true,true,动词!A68:F68,
deputised,deputized,verb,过去分词|过去时,true,true,动词!C68:H68|动词!D68:I68,
deputises,deputizes,verb,第三人称单数,true,true,动词!B68:G68,
deputising,deputizing,verb,ing,true,true,动词!E68:J68,
deradicalise,deradicalize,verb,原型,true,true,动词!A69:F69,
deradicalised,deradicalized,verb,过去分词|过去时,true,true,动词!C69:H69|动词!D69:I69,
deradicalises,deradicalizes,verb,第三人称单数,true,true,动词!B69:G69,
deradicalising,deradicalizing,verb,ing,true,true,动词!E69:J69,
desensitise,desensitize,verb,原型,true,true,动词!A70:F70,
desensitised,desensitized,verb,过去分词|过去时,true,true,动词!C70:H70|动词!D70:I70,
desensitises,desensitizes,verb,第三人称单数,true,true,动词!B70:G70,
desensitising,desensitizing,verb,ing,true,true,动词!E70:J70,
destabilisation,destabilization,noun,单数,true,true,名词!A328:C328,
destabilisations,destabilizations,noun,复数,true,true,名词!B328:D328,
destabilise,destabilize,verb,原型,true,true,动词!A71:F71,
destabilised,destabilized,verb,过去分词|过去时,true,true,动词!C71:H71|动词!D71:I71,
destabilises,destabilizes,verb,第三人称单数,true,true,动词!B71:G71,
destabilising,destabilizing,verb,ing,true,true,动词!E71:J71,
detergent powder,laundry detergent,noun,单数,true,true,名词!A70:C70,
detergent powders,laundry detergents,noun,复数,true,true,名词!B70:D70,
dialling tone,dial tone,noun,单数,true,true,名词!A71:C71,
dialling tones,dial tones,noun,复数,true,true,名词!B71:D71,
dialogue,dialog,verb,原型,true,true,动词!A282:F282,
dialogued,dialoged,verb,过去分词|过去时,true,true,动词!C282:H282|动词!D282:I282,
dialogues,dialogs,verb,第三人称单数,true,true,动词!B282:G282,
dialoguing,dialoging,verb,ing,true,true,动词!E282:J282,
dickey,trunk,noun,单数,true,false,名词!A72:C72,美式源词存在多个英式目标，已禁用美转英
dickeys,trunks,noun,复数,true,false,名词!B72:D72,美式源词存在多个英式目标，已禁用美转英
digestive biscuit,cracker cookies,noun,单数,true,false,名词!A73:C73,美式源词存在多个英式目标，已禁用美转英
digestive biscuits,cracker cookies,noun,复数,true,false,名词!B73:D73,美式源词存在多个英式目标，已禁用美转英
digitisation,digitization,noun,单数,true,true,名词!A329:C329,
digitisations,digitizations,noun,复数,true,true,名词!B329:D329,
digitise,digitize,verb,原型,true,true,动词!A75:F75,
digitised,digitized,verb,过去分词|过去时,true,true,动词!C75:H75|动词!D75:I75,
digitises,digitizes,verb,第三人称单数,true,true,动词!B75:G75,
digitising,digitizing,verb,ing,true,true,动词!E75:J75,
dinning car,dining car,noun,单数,true,true,名词!A74:C74,
direct debit,automatic payment,noun,单数,true,true,名词!A75:C75,
direct debits,automatic payments,noun,复数,true,true,名词!B75:D75,
disc,disk,noun,单数,true,true,名词!A330:C330,
discolour,discolor,noun,单数,true,true,名词!A331:C331,
discolours,discolors,noun,复数,true,true,名词!B331:D331,
discretise,discretize,verb,原型,true,true,动词!A77:F77,
discretised,discretized,verb,过去分词|过去时,true,true,动词!C77:H77|动词!D77:I77,
discretises,discretizes,verb,第三人称单数,true,true,动词!B77:G77,
discretising,discretizing,verb,ing,true,true,动词!E77:J77,
discs,disks,noun,复数,true,true,名词!B330:D330,
disorganise,disorganize,verb,原型,true,true,动词!A76:F76,
disorganised,disorganized,verb,过去分词|过去时,true,true,动词!C76:H76|动词!D76:I76,
disorganises,disorganizes,verb,第三人称单数,true,true,动词!B76:G76,
disorganising,disorganizing,verb,ing,true,true,动词!E76:J76,
distil,distill,verb,原型,true,true,动词!A263:F263,
distils,distills,verb,第三人称单数,true,true,动词!B263:G263,
diversion,detour,noun,单数,true,true,名词!A76:C76,
diversions,detours,noun,复数,true,true,名词!B76:D76,
doctor's surgeries,doctor's offices,noun,复数,true,true,名词!B77:D77,
doctor's surgery,doctor's office,noun,单数,true,true,名词!A77:C77,
dogmatise,dogmatize,verb,原型,true,true,动词!A78:F78,
dogmatised,dogmatized,verb,过去分词|过去时,true,true,动词!C78:H78|动词!D78:I78,
dogmatises,dogmatizes,verb,第三人称单数,true,true,动词!B78:G78,
dogmatising,dogmatizing,verb,ing,true,true,动词!E78:J78,
dramatisation,dramatization,noun,单数,true,true,名词!A334:C334,
dramatisations,dramatizations,noun,复数,true,true,名词!B334:D334,
dramatise,dramatize,verb,原型,true,true,动词!A79:F79,
dramatised,dramatized,verb,过去分词|过去时,true,true,动词!C79:H79|动词!D79:I79,
dramatises,dramatizes,verb,第三人称单数,true,true,动词!B79:G79,
dramatising,dramatizing,verb,ing,true,true,动词!E79:J79,
draught,draft,noun,单数,true,true,名词!A335:C335,
draught excluder,draft stopper,noun,单数,true,true,名词!A78:C78,
draught excluders,draft stoppers,noun,复数,true,true,名词!B78:D78,
draughts,checkers,noun,单数|复数,false,true,名词!A79:C79|名词!B79:D79,英式源词存在多个美式目标，已禁用英转美
draughts,drafts,noun,复数,false,true,名词!B335:D335,英式源词存在多个美式目标，已禁用英转美
drawing pin,thumbtack,noun,单数,true,true,名词!A80:C80,
drawing pins,thumbtacks,noun,复数,true,true,名词!B80:D80,
drivelling,driveling,noun,单数,true,true,名词!A336:C336,
drivellings,drivelings,noun,复数,true,true,名词!B336:D336,
driving licence,driver's license,noun,单数,true,true,名词!A81:C81,
driving licences,driver's licenses,noun,复数,true,true,名词!B81:D81,
dual carriageway,divided highway,noun,单数,true,true,名词!A82:C82,
dual carriageways,divided highways,noun,复数,true,true,名词!B82:D82,
dummies,pacifiers,noun,复数,true,true,名词!B83:D83,
dummy,pacifier,noun,单数,true,true,名词!A83:C83,
dustbin,garbage can,noun,单数,true,true,名词!A84:C84,
dustbins,garbage cans,noun,复数,true,true,名词!B84:D84,
dustcart,garbage truck,noun,单数,true,false,名词!A85:C85,美式源词存在多个英式目标，已禁用美转英
dustcarts,garbage trucks,noun,复数,true,false,名词!B85:D85,美式源词存在多个英式目标，已禁用美转英
earth,ground,noun,单数,true,true,名词!A86:C86,
earths,grounds,noun,复数,true,true,名词!B86:D86,
economise,economize,verb,原型,true,true,动词!A80:F80,
economised,economized,verb,过去分词|过去时,true,true,动词!C80:H80|动词!D80:I80,
economises,economizes,verb,第三人称单数,true,true,动词!B80:G80,
economising,economizing,verb,ing,true,true,动词!E80:J80,
electrolyse,electrolyze,verb,原型,true,true,动词!A81:F81,
electrolysed,electrolyzed,verb,过去分词|过去时,true,true,动词!C81:H81|动词!D81:I81,
electrolyses,electrolyzes,verb,第三人称单数,true,true,动词!B81:G81,
electrolysing,electrolyzing,verb,ing,true,true,动词!E81:J81,
emphasise,emphasize,verb,原型,true,true,动词!A82:F82,
emphasised,emphasized,verb,过去分词|过去时,true,true,动词!C82:H82|动词!D82:I82,
emphasises,emphasizes,verb,第三人称单数,true,true,动词!B82:G82,
emphasising,emphasizing,verb,ing,true,true,动词!E82:J82,
enamelled,enameled,noun,单数|复数,true,true,名词!A337:C337|名词!B337:D337,
endeavour,endeavor,noun|verb,单数|原型,true,true,动词!A291:F291|名词!A338:C338,
endeavoured,endeavored,verb,过去分词|过去时,true,true,动词!C291:H291|动词!D291:I291,
endeavouring,endeavoring,verb,ing,true,true,动词!E291:J291,
endeavours,endeavors,noun|verb,复数|第三人称单数,true,true,动词!B291:G291|名词!B338:D338,
energise,energize,verb,原型,true,true,动词!A84:F84,
energised,energized,verb,过去分词|过去时,true,true,动词!C84:H84|动词!D84:I84,
energises,energizes,verb,第三人称单数,true,true,动词!B84:G84,
energising,energizing,verb,ing,true,true,动词!E84:J84,
enquire,inquire,verb,原型,true,true,动词!A280:F280,
enquired,inquired,verb,过去分词|过去时,true,true,动词!C280:H280|动词!D280:I280,
enquires,inquires,verb,第三人称单数,true,true,动词!B280:G280,
enquiring,inquiring,verb,ing,true,true,动词!E280:J280,
enrol,enroll,verb,原型,true,true,动词!A260:F260,
enrolment,enrollment,noun,单数,true,true,名词!A339:C339,
enrolments,enrollments,noun,复数,true,true,名词!B339:D339,
enrols,enrolls,verb,第三人称单数,true,true,动词!B260:G260,
enthral,enthrall,verb,原型,true,true,动词!A264:F264,
enthrals,enthralls,verb,第三人称单数,true,true,动词!B264:G264,
epicentre,epicenter,noun,单数,true,true,名词!A340:C340,
epicentres,epicenters,noun,复数,true,true,名词!B340:D340,
epitomise,epitomize,verb,原型,true,true,动词!A86:F86,
epitomised,epitomized,verb,过去分词|过去时,true,true,动词!C86:H86|动词!D86:I86,
epitomises,epitomizes,verb,第三人称单数,true,true,动词!B86:G86,
epitomising,epitomizing,verb,ing,true,true,动词!E86:J86,
epoxidise,epoxidize,verb,原型,true,true,动词!A92:F92,
epoxidised,epoxidized,verb,过去分词|过去时,true,true,动词!C92:H92|动词!D92:I92,
epoxidises,epoxidizes,verb,第三人称单数,true,true,动词!B92:G92,
epoxidising,epoxidizing,verb,ing,true,true,动词!E92:J92,
equalisation,equalization,noun,单数,true,true,名词!A341:C341,
equalisations,equalizations,noun,复数,true,true,名词!B341:D341,
equalise,equalize,verb,原型,true,true,动词!A85:F85,
equalised,equalized,verb,过去分词|过去时,true,true,动词!C85:H85|动词!D85:I85,
equalises,equalizes,verb,第三人称单数,true,true,动词!B85:G85,
equalising,equalizing,verb,ing,true,true,动词!E85:J85,
eroticise,eroticize,verb,原型,true,true,动词!A87:F87,
eroticised,eroticized,verb,过去分词|过去时,true,true,动词!C87:H87|动词!D87:I87,
eroticises,eroticizes,verb,第三人称单数,true,true,动词!B87:G87,
eroticising,eroticizing,verb,ing,true,true,动词!E87:J87,
estate agent,real estate agent,noun,单数,true,true,名词!A87:C87,
estate agents,real estate agents,noun,复数,true,true,名词!B87:D87,
estate car,station wagon,noun,单数,true,true,名词!A88:C88,
estate cars,station wagons,noun,复数,true,true,名词!B88:D88,
esthete,esthetic,noun,单数,true,false,名词!A343:C343,美式源词存在多个英式目标，已禁用美转英
etymologise,etymologize,verb,原型,true,true,动词!A88:F88,
etymologised,etymologized,verb,过去分词|过去时,true,true,动词!C88:H88|动词!D88:I88,
etymologises,etymologizes,verb,第三人称单数,true,true,动词!B88:G88,
etymologising,etymologizing,verb,ing,true,true,动词!E88:J88,
euthanise,euthanize,verb,原型,true,true,动词!A90:F90,
euthanised,euthanized,verb,过去分词|过去时,true,true,动词!C90:H90|动词!D90:I90,
euthanises,euthanizes,verb,第三人称单数,true,true,动词!B90:G90,
euthanising,euthanizing,verb,ing,true,true,动词!E90:J90,
evangelise,evangelize,verb,原型,true,true,动词!A89:F89,
evangelised,evangelized,verb,过去分词|过去时,true,true,动词!C89:H89|动词!D89:I89,
evangelises,evangelizes,verb,第三人称单数,true,true,动词!B89:G89,
evangelising,evangelizing,verb,ing,true,true,动词!E89:J89,
exam revision,exam review,noun,单数,true,true,名词!A89:C89,
exam revisions,exam reviews,noun,复数,true,true,名词!B89:D89,
extension lead,extension cord,noun,单数,true,true,名词!A90:C90,
extension leads,extension cords,noun,复数,true,true,名词!B90:D90,
externalise,externalize,verb,原型,true,true,动词!A91:F91,
externalised,externalized,verb,过去分词|过去时,true,true,动词!C91:H91|动词!D91:I91,
externalises,externalizes,verb,第三人称单数,true,true,动词!B91:G91,
externalising,externalizing,verb,ing,true,true,动词!E91:J91,
familiarise,familiarize,verb,原型,true,true,动词!A93:F93,
familiarised,familiarized,verb,过去分词|过去时,true,true,动词!C93:H93|动词!D93:I93,
familiarises,familiarizes,verb,第三人称单数,true,true,动词!B93:G93,
familiarising,familiarizing,verb,ing,true,true,动词!E93:J93,
fantasise,fantasize,verb,原型,true,true,动词!A94:F94,
fantasised,fantasized,verb,过去分词|过去时,true,true,动词!C94:H94|动词!D94:I94,
fantasises,fantasizes,verb,第三人称单数,true,true,动词!B94:G94,
fantasising,fantasizing,verb,ing,true,true,动词!E94:J94,
favour,favor,noun|verb,单数|原型,true,true,动词!A284:F284|名词!A344:C344,
favourable,favorable,noun,单数,true,true,名词!A345:C345,
favourables,favorables,noun,复数,true,true,名词!B345:D345,
favoured,favored,verb,过去分词|过去时,true,true,动词!C284:H284|动词!D284:I284,
favouring,favoring,verb,ing,true,true,动词!E284:J284,
favours,favors,noun|verb,复数|第三人称单数,true,true,动词!B284:G284|名词!B344:D344,
feminise,feminize,verb,原型,true,true,动词!A95:F95,
feminised,feminized,verb,过去分词|过去时,true,true,动词!C95:H95|动词!D95:I95,
feminises,feminizes,verb,第三人称单数,true,true,动词!B95:G95,
feminising,feminizing,verb,ing,true,true,动词!E95:J95,
fertilise,fertilize,verb,原型,true,true,动词!A96:F96,
fertilised,fertilized,verb,过去分词|过去时,true,true,动词!C96:H96|动词!D96:I96,
fertilises,fertilizes,verb,第三人称单数,true,true,动词!B96:G96,
fertilising,fertilizing,verb,ing,true,true,动词!E96:J96,
fibre,fiber,noun,单数,true,true,名词!A346:C346,
fibres,fibers,noun,复数,true,true,名词!B346:D346,
fictionalise,fictionalize,verb,原型,true,true,动词!A98:F98,
fictionalised,fictionalized,verb,过去分词|过去时,true,true,动词!C98:H98|动词!D98:I98,
fictionalises,fictionalizes,verb,第三人称单数,true,true,动词!B98:G98,
fictionalising,fictionalizing,verb,ing,true,true,动词!E98:J98,
film,movie,noun,单数,true,true,名词!A91:C91,
filmise,filmize,verb,原型,true,true,动词!A99:F99,
filmised,filmized,verb,过去分词|过去时,true,true,动词!C99:H99|动词!D99:I99,
filmises,filmizes,verb,第三人称单数,true,true,动词!B99:G99,
filmisising,filmizing,verb,ing,true,true,动词!E99:J99,
films,movies,noun,复数,true,true,名词!B91:D91,
finalise,finalize,verb,原型,true,true,动词!A97:F97,
finalised,finalized,verb,过去分词|过去时,true,true,动词!C97:H97|动词!D97:I97,
finalises,finalizes,verb,第三人称单数,true,true,动词!B97:G97,
finalising,finalizing,verb,ing,true,true,动词!E97:J97,
fire brigade,fire department,noun,单数,true,true,名词!A92:C92,
fire brigades,fire departments,noun,复数,true,true,名词!B92:D92,
fire engine,fire truck,noun,单数,true,true,名词!A93:C93,
fire engines,fire trucks,noun,复数,true,true,名词!B93:D93,
fish finger,fish stick,noun,单数,true,true,名词!A94:C94,
fish fingers,fish sticks,noun,复数,true,true,名词!B94:D94,
fizzy drink,soda,noun,单数,true,true,名词!A95:C95,
fizzy drinks,sodas,noun,复数,true,true,名词!B95:D95,
flat,apartment,noun,单数,true,true,名词!A96:C96,
flats,apartments,noun,复数,true,true,名词!B96:D96,
flavour,flavor,noun,单数,true,true,名词!A347:C347,
flavours,flavors,noun,复数,true,true,名词!B347:D347,
flyover,overpass,noun,单数,true,false,名词!A97:C97,美式源词存在多个英式目标，已禁用美转英
flyovers,overpasses,noun,复数,true,false,名词!B97:D97,美式源词存在多个英式目标，已禁用美转英
foetal,fetal,noun,单数,true,true,名词!A348:C348,
foetals,fetals,noun,复数,true,true,名词!B348:D348,
foetus,fetus,noun,单数,true,true,名词!A349:C349,
foetuses,fetuses,noun,复数,true,true,名词!B349:D349,
football,soccer,noun,单数,false,true,名词!A98:C98,英式源词同时是英转美目标，为保证幂等已禁用英转美
football boot,cleat,noun,单数,true,true,名词!A99:C99,
football boots,cleats,noun,复数,true,true,名词!B99:D99,
footballs,soccers,noun,复数,false,true,名词!B98:D98,英式源词同时是英转美目标，为保证幂等已禁用英转美
forecourt,gas station lot,noun,单数,true,true,名词!A100:C100,
forecourts,gas station lots,noun,复数,true,true,名词!B100:D100,
form tutor,homeroom teacher,noun,单数,true,true,名词!A101:C101,
form tutors,homeroom teachers,noun,复数,true,true,名词!B101:D101,
formalise,formalize,verb,原型,true,true,动词!A101:F101,
formalised,formalized,verb,过去分词|过去时,true,true,动词!C101:H101|动词!D101:I101,
formalises,formalizes,verb,第三人称单数,true,true,动词!B101:G101,
formalising,formalizing,verb,ing,true,true,动词!E101:J101,
fortnight,two-week period,noun,单数,true,true,名词!A102:C102,
fortnights,two-week periods,noun,复数,true,true,名词!B102:D102,
fossilise,fossilize,verb,原型,true,true,动词!A102:F102,
fossilised,fossilized,verb,过去分词|过去时,true,true,动词!C102:H102|动词!D102:I102,
fossilises,fossilizes,verb,第三人称单数,true,true,动词!B102:G102,
fossilising,fossilizing,verb,ing,true,true,动词!E102:J102,
fractionalise,fractionalize,verb,原型,true,true,动词!A103:F103,
fractionalised,fractionalized,verb,过去分词|过去时,true,true,动词!C103:H103|动词!D103:I103,
fractionalises,fractionalizes,verb,第三人称单数,true,true,动词!B103:G103,
fractionalising,fractionalizing,verb,ing,true,true,动词!E103:J103,
fraternise,fraternize,verb,原型,true,true,动词!A104:F104,
fraternised,fraternized,verb,过去分词|过去时,true,true,动词!C104:H104|动词!D104:I104,
fraternises,fraternizes,verb,第三人称单数,true,true,动词!B104:G104,
fraternising,fraternizing,verb,ing,true,true,动词!E104:J104,
fringe,bangs,noun,单数,true,false,名词!A103:C103,美式源词存在多个英式目标，已禁用美转英
fringes,bangs,noun,复数,true,false,名词!B103:D103,美式源词存在多个英式目标，已禁用美转英
frontierise,frontierize,verb,原型,true,true,动词!A105:F105,
frontierised,frontierized,verb,过去分词|过去时,true,true,动词!C105:H105|动词!D105:I105,
frontierises,frontierizes,verb,第三人称单数,true,true,动词!B105:G105,
frontierising,frontierizing,verb,ing,true,true,动词!E105:J105,
fuelled,fueled,verb,过去分词|过去时,true,true,动词!C259:H259|动词!D259:I259,
fuelling,fueling,verb,ing,true,true,动词!E259:J259,
fulfil,fulfill,verb,原型,true,true,动词!A262:F262,
fulfilment,fulfillment,noun,单数,true,true,名词!A350:C350,
fulfilments,fulfillments,noun,复数,true,true,名词!B350:D350,
fulfils,fulfills,verb,第三人称单数,true,true,动词!B262:G262,
full stop,period,noun,单数,true,true,名词!A104:C104,
full stops,periods,noun,复数,true,true,名词!B104:D104,
functionise,functionize,verb,原型,true,true,动词!A106:F106,
functionised,functionized,verb,过去分词|过去时,true,true,动词!C106:H106|动词!D106:I106,
functionises,functionizes,verb,第三人称单数,true,true,动词!B106:G106,
functionising,functionizing,verb,ing,true,true,动词!E106:J106,
furore,furor,noun,单数,true,true,名词!A351:C351,
furores,furors,noun,复数,true,true,名词!B351:D351,
further maths,advanced math,noun,单数,false,true,名词!A105:C105,英式源词存在多个美式目标，已禁用英转美
further maths,advanced maths,noun,复数,false,true,名词!B105:D105,英式源词存在多个美式目标，已禁用英转美
galvanisation,galvanization,noun,单数,true,true,名词!A352:C352,
galvanise,galvanize,verb,原型,true,true,动词!A107:F107,
galvanised,galvanized,verb,过去分词|过去时,true,true,动词!C107:H107|动词!D107:I107,
galvanises,galvanizes,verb,第三人称单数,true,true,动词!B107:G107,
galvanising,galvanizing,verb,ing,true,true,动词!E107:J107,
gauge,gage,noun,单数,true,true,名词!A353:C353,
gauges,gages,noun,复数,true,true,名词!B353:D353,
gear lever,gearshift,noun,单数,true,true,名词!A106:C106,
gear levers,gearshifts,noun,复数,true,true,名词!B106:D106,
gearbox,transmission,noun,单数,true,true,名词!A107:C107,
gearboxes,transmissions,noun,复数,true,true,名词!B107:D107,
generalisation,generalization,noun,单数,true,true,名词!A354:C354,
generalisations,generalizations,noun,复数,true,true,名词!B354:D354,
generalise,generalize,verb,原型,true,true,动词!A109:F109,
generalised,generalized,verb,过去分词|过去时,true,true,动词!C109:H109|动词!D109:I109,
generalises,generalizes,verb,第三人称单数,true,true,动词!B109:G109,
generalising,generalizing,verb,ing,true,true,动词!E109:J109,
genie,garbage disposal,noun,单数,true,true,名词!A108:C108,
genies,garbage disposals,noun,复数,true,true,名词!B108:D108,
germanise,germanize,verb,原型,true,true,动词!A108:F108,
germanised,germanized,verb,过去分词|过去时,true,true,动词!C108:H108|动词!D108:I108,
germanises,germanizes,verb,第三人称单数,true,true,动词!B108:G108,
germanising,germanizing,verb,ing,true,true,动词!E108:J108,
gherkins,pickles,noun,单数|复数,true,true,名词!A109:C109|名词!B109:D109,
glamorise,glamorize,verb,原型,true,true,动词!A111:F111,
glamorised,glamorized,verb,过去分词|过去时,true,true,动词!C111:H111|动词!D111:I111,
glamorises,glamorizes,verb,第三人称单数,true,true,动词!B111:G111,
glamorising,glamorizing,verb,ing,true,true,动词!E111:J111,
glamour,glamor,noun,单数,true,true,名词!A355:C355,
glamours,glamors,noun,复数,true,true,名词!B355:D355,
globalisation,globalization,noun,单数,true,true,名词!A356:C356,
globalisations,globalizations,noun,复数,true,true,名词!B356:D356,
globalise,globalize,verb,原型,true,true,动词!A110:F110,
globalised,globalized,verb,过去分词|过去时,true,true,动词!C110:H110|动词!D110:I110,
globalises,globalizes,verb,第三人称单数,true,true,动词!B110:G110,
globalising,globalizing,verb,ing,true,true,动词!E110:J110,
goitre,goiter,noun,单数,true,true,名词!A357:C357,
goitres,goiters,noun,复数,true,true,名词!B357:D357,
goods train,freight train,noun,单数,true,true,名词!A110:C110,
goods trains,freight trains,noun,复数,true,true,名词!B110:D110,
gourmandise,gourmandize,verb,原型,true,true,动词!A112:F112,
gourmandised,gourmandized,verb,过去分词|过去时,true,true,动词!C112:H112|动词!D112:I112,
gourmandises,gourmandizes,verb,第三人称单数,true,true,动词!B112:G112,
gourmandising,gourmandizing,verb,ing,true,true,动词!E112:J112,
granitise,granitize,verb,原型,true,true,动词!A113:F113,
granitised,granitized,verb,过去分词|过去时,true,true,动词!C113:H113|动词!D113:I113,
granitises,granitizes,verb,第三人称单数,true,true,动词!B113:G113,
granitising,granitizing,verb,ing,true,true,动词!E113:J113,
gravitise,gravitize,verb,原型,true,true,动词!A114:F114,
gravitised,gravitized,verb,过去分词|过去时,true,true,动词!C114:H114|动词!D114:I114,
gravitises,gravitizes,verb,第三人称单数,true,true,动词!B114:G114,
gravitising,gravitizing,verb,ing,true,true,动词!E114:J114,
greaseproof paper,wax paper,noun,单数,true,true,名词!A111:C111,
greaseproof papers,wax papers,noun,复数,true,true,名词!B111:D111,
greenflies,aphids,noun,复数,true,true,名词!B112:D112,
greenfly,aphid,noun,单数,true,true,名词!A112:C112,
ground floor,first floor,noun,单数,true,true,名词!A113:C113,
ground floors,first floors,noun,复数,true,true,名词!B113:D113,
groupise,groupize,verb,原型,true,true,动词!A115:F115,
groupised,groupized,verb,过去分词|过去时,true,true,动词!C115:H115|动词!D115:I115,
groupises,groupizes,verb,第三人称单数,true,true,动词!B115:G115,
groupising,groupizing,verb,ing,true,true,动词!E115:J115,
gumshield,mouthguard,noun,单数,true,true,名词!A114:C114,
gumshields,mouthguards,noun,复数,true,true,名词!B114:D114,
gym slip,gym uniform skirt,noun,单数,true,true,名词!A115:C115,
gym slips,gym uniform skirts,noun,复数,true,true,名词!B115:D115,
gynaecologies,gynecologies,noun,复数,true,true,名词!B358:D358,
gynaecology,gynecology,noun,单数,true,true,名词!A358:C358,
hairgrip,bobby pin,noun,单数,true,true,名词!A116:C116,
hairgrips,bobby pins,noun,复数,true,true,名词!B116:D116,
handbag,purse,noun,单数,true,true,名词!A117:C117,
handbags,purses,noun,复数,true,true,名词!B117:D117,
handbrake,parking brake,noun,单数,true,true,名词!A118:C118,
handbrakes,parking brakes,noun,复数,true,true,名词!B118:D118,
harbour,harbor,verb,原型,true,true,动词!A288:F288,
harboured,harbored,verb,过去分词|过去时,true,true,动词!C288:H288|动词!D288:I288,
harbouring,harboring,verb,ing,true,true,动词!E288:J288,
harbours,harbors,verb,第三人称单数,true,true,动词!B288:G288,
harmonise,harmonize,verb,原型,true,true,动词!A116:F116,
harmonised,harmonized,verb,过去分词|过去时,true,true,动词!C116:H116|动词!D116:I116,
harmonises,harmonizes,verb,第三人称单数,true,true,动词!B116:G116,
harmonising,harmonizing,verb,ing,true,true,动词!E116:J116,
hire car,rental car,noun,单数,true,true,名词!A120:C120,
hire cars,rental cars,noun,复数,true,true,名词!B120:D120,
hire purchase,instalment plan,noun,单数,true,true,名词!A119:C119,
hire purchases,installment plans,noun,复数,true,true,名词!B119:D119,
historicise,historicize,verb,原型,true,true,动词!A120:F120,
historicised,historicized,verb,过去分词|过去时,true,true,动词!C120:H120|动词!D120:I120,
historicises,historicizes,verb,第三人称单数,true,true,动词!B120:G120,
historicising,historicizing,verb,ing,true,true,动词!E120:J120,
holiday,vacation,noun,单数,true,true,名词!A121:C121,
holidaymaker,vacationer,noun,单数,true,true,名词!A122:C122,
holidaymakers,vacationers,noun,复数,true,true,名词!B122:D122,
holidays,vacations,noun,复数,true,true,名词!B121:D121,
honour,honor,verb,原型,true,true,动词!A286:F286,
honoured,honored,verb,过去分词|过去时,true,true,动词!C286:H286|动词!D286:I286,
honouring,honoring,verb,ing,true,true,动词!E286:J286,
honours,honors,verb,第三人称单数,true,true,动词!B286:G286,
hoover,vacuum cleaner,noun,单数,true,true,名词!A123:C123,
hoovers,vacuum cleaners,noun,复数,true,true,名词!B123:D123,
hospitalise,hospitalize,verb,原型,true,true,动词!A117:F117,
hospitalised,hospitalized,verb,过去分词|过去时,true,true,动词!C117:H117|动词!D117:I117,
hospitalises,hospitalizes,verb,第三人称单数,true,true,动词!B117:G117,
hospitalising,hospitalizing,verb,ing,true,true,动词!E117:J117,
hot-water bottle,hot-water bag,noun,单数,true,true,名词!A124:C124,
hot-water bottles,hot-water bags,noun,复数,true,true,名词!B124:D124,
humanise,humanize,verb,原型,true,true,动词!A118:F118,
humanised,humanized,verb,过去分词|过去时,true,true,动词!C118:H118|动词!D118:I118,
humanises,humanizes,verb,第三人称单数,true,true,动词!B118:G118,
humanising,humanizing,verb,ing,true,true,动词!E118:J118,
